
Sense HAT Test Program ...

Raspberry UTC Start2021-10-23 20:11:22.377371
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-23 20:11:34.034346 , -31.3530027, -1.8313673, -46.2263599, 0.0349731, -0.5792847, 0.9509277, 0.2439024, 0.3048780, 0.0304878, -142.8750000, -113.0000000, -97.8750000
2021-10-23 20:11:34.330534 , -31.3420373, -1.8089043, -46.0272796, 0.0333252, -0.5778809, 0.9500122, 0.4573171, 0.4573171, -0.0304878, -145.1250000, -112.2500000, -95.3750000
2021-10-23 20:11:34.627355 , -31.3466908, -1.7746313, -45.9937320, 0.0331421, -0.5794067, 0.9501953, 0.1219512, 0.3353659, 0.0609756, -142.1250000, -113.8750000, -93.0000000
2021-10-23 20:11:34.923745 , -31.3339668, -1.7513679, -45.9898954, 0.0330811, -0.5783081, 0.9497681, 0.2439024, 0.2134146, 0.0000000, -144.0000000, -115.6250000, -94.8750000
2021-10-23 20:11:35.220115 , -31.2821947, -1.7179528, -46.0511224, 0.0336304, -0.5786133, 0.9512939, 0.8841463, 0.6402439, -0.0609756, -143.7500000, -115.5000000, -96.8750000
2021-10-23 20:11:35.516427 , -31.2498778, -1.7041370, -46.0163744, 0.0332642, -0.5761719, 0.9515991, 0.3658537, 0.3963415, 0.0304878, -142.5000000, -112.3750000, -96.1250000
2021-10-23 20:11:35.812671 , -31.2083432, -1.6981024, -45.9599387, 0.0336304, -0.5739136, 0.9505005, 0.4268293, 0.4268293, 0.0609756, -144.3750000, -113.6250000, -96.5000000
2021-10-23 20:11:36.109005 , -31.1695582, -1.6927697, -45.8994892, 0.0328369, -0.5733643, 0.9523315, 0.2134146, 0.2134146, 0.0304878, -145.5000000, -116.3750000, -93.8750000
2021-10-23 20:11:36.410066 , -31.1992163, -1.7426965, -46.1247115, 0.0359497, -0.5758667, 0.9532471, -0.7317073, -0.3658537, 0.0000000, -148.2500000, -138.8750000, -77.5000000
2021-10-23 20:11:36.706844 , -30.6758088, -1.2567179, -45.0786815, 0.0371704, -0.5791626, 0.9505615, -0.3353659, 0.0914634, -0.0609756, -278.3750000, -337.2500000, 115.3750000
2021-10-23 20:11:37.002762 , -28.9410578, -0.1257400, -42.4310473, 0.0379028, -0.5781250, 0.9508057, -0.1219512, 0.2743902, -0.0609756, -1030.3750000, -887.6250000, 598.3750000
2021-10-23 20:11:37.299331 , -28.6248655, 0.1216302, -39.9651870, 0.0375366, -0.5812378, 0.9488525, -0.4268293, 0.1829268, -0.0609756, -2715.5000000, -1955.0000000, 467.0000000
2021-10-23 20:11:37.595882 , -29.0008483, -0.1449437, -38.2421674, 0.0388794, -0.5834351, 0.9481201, 0.3048780, 0.1219512, 0.0609756, -3990.3750000, -2569.2500000, -433.6250000
2021-10-23 20:11:37.892226 , -29.2576893, -0.5009899, -38.0901178, 0.0384521, -0.5783081, 0.9517822, 4.8780488, 0.8231707, 0.1524390, -4977.8750000, -3452.1250000, -1647.8750000
2021-10-23 20:11:38.188651 , -27.9478160, 1.3426059, -40.8517595, 0.0395508, -0.5744629, 0.9503174, 0.8231707, 0.3353659, 2.5914634, -9234.2500000, -6599.1250000, -25058.5000000
2021-10-23 20:11:38.486103 , -27.3866304, 1.3972001, -40.6020204, 0.0386353, -0.5650024, 0.9524536, -0.3658537, 3.8719512, 0.3353659, -6729.7500000, -13512.8750000, 22241.2500000
2021-10-23 20:11:38.781895 , -28.7091285, -3.5195036, -41.5278438, 0.0332031, -0.5742188, 0.9513550, -0.3048780, 0.1219512, -0.0609756, 2715.8750000, -13309.7500000, 15911.7500000
2021-10-23 20:11:39.078023 , -29.6252791, -10.2823757, -51.2319774, 0.0331421, -0.5758057, 0.9515381, -0.1829268, -0.0304878, -0.1829268, 2413.5000000, -3826.7500000, 305.0000000
2021-10-23 20:11:39.374004 , -28.9343306, -16.7678145, -58.7764807, 0.0335693, -0.5765991, 0.9505615, 0.2134146, 0.3353659, 0.0304878, 2550.7500000, -2789.6250000, 867.5000000
2021-10-23 20:11:39.670215 , -28.7966164, -13.2393221, -48.8857888, 0.0338135, -0.5767212, 0.9509277, 0.2743902, 0.0304878, 0.0000000, -25514.5000000, -5134.1250000, 7214.8750000
2021-10-23 20:11:39.966612 , -21.9384232, -9.6393964, -46.4309929, 0.0341797, -0.5758057, 0.9511719, 0.0914634, 0.1829268, 0.0000000, -2891.7500000, -1754.3750000, 8957.1250000
2021-10-23 20:11:40.263067 , -23.9155349, -7.9220769, -46.4931231, 0.0364990, -0.5776978, 0.9499512, 0.0000000, -0.0609756, 0.0609756, -557.6250000, -491.8750000, -351.3750000
2021-10-23 20:11:40.559085 , -25.4760519, -6.5585214, -46.7988844, 0.0364990, -0.5784912, 0.9502563, 0.0000000, 0.1219512, 0.0609756, -301.7500000, -288.5000000, -175.3750000
2021-10-23 20:11:40.855402 , -26.7400870, -5.4892821, -47.0588183, 0.0352783, -0.5805054, 0.9495239, 0.0000000, 0.2439024, 0.0000000, -278.3750000, -266.0000000, -161.1250000
2021-10-23 20:11:41.182435 , -27.7563962, -4.7068830, -45.5818842, 0.0354004, -0.5805664, 0.9510498, 0.5487805, 0.7621951, 0.0000000, -420.1250000, -327.0000000, -148.5000000
2021-10-23 20:11:41.488062 , -26.6919993, -2.9434825, -40.8052847, 0.0317993, -0.5758057, 0.9512939, 1.0060976, 0.8841463, 0.0000000, -767.2500000, -415.6250000, 229.7500000
2021-10-23 20:11:41.784058 , -22.8922883, -1.3245662, -37.8300806, 0.0310059, -0.5725098, 0.9520874, 0.0609756, 0.1524390, -0.0304878, -880.5000000, -490.6250000, 1316.5000000
2021-10-23 20:11:42.101796 , -22.8413071, -5.6318192, -44.9709990, 0.0300903, -0.5741577, 0.9517212, 0.1219512, 0.3353659, 0.0304878, 16799.5000000, -488.2500000, 2997.3750000
2021-10-23 20:11:42.407942 , -21.0612548, -14.9383828, -52.2140614, 0.0289917, -0.5739746, 0.9521484, 0.5487805, 0.2134146, 0.0304878, 766.5000000, -359.8750000, 406.2500000
2021-10-23 20:11:42.703674 , -23.1539095, -6.1734540, -54.6131655, 0.0285034, -0.5716553, 0.9522705, 0.3658537, 0.2439024, 0.0000000, 333.7500000, -314.6250000, -16413.7500000
2021-10-23 20:11:43.039598 , -25.0956707, -5.1893751, -64.5818010, 0.0289307, -0.5722656, 0.9528198, 0.0914634, 0.2134146, -0.0609756, 96.0000000, -303.2500000, -142.7500000
2021-10-23 20:11:43.344612 , -26.2674348, -4.0718310, -67.6552240, 0.0299072, -0.5699463, 0.9531250, 0.7012195, 0.4878049, 0.0304878, -59.0000000, -255.6250000, -150.8750000
2021-10-23 20:11:43.647848 , -26.4083003, -4.7259487, -79.7398664, 0.0295410, -0.5664062, 0.9542847, 0.1219512, 0.2134146, 0.0609756, 24648.6250000, -278.8750000, -146.0000000
2021-10-23 20:11:43.943899 , -23.3489779, -10.0643760, -89.2266453, 0.0300903, -0.5690918, 0.9533081, -0.2439024, 0.1524390, -0.0304878, 903.2500000, -557.0000000, 309.6250000
2021-10-23 20:11:44.239829 , -20.0099763, -12.4290812, -101.0214054, 0.0316162, -0.5709229, 0.9527588, 0.1524390, 0.1524390, -0.0304878, 16853.3750000, -1434.3750000, 3515.2500000
2021-10-23 20:11:44.536435 , -18.3315002, -4.2990423, -92.4248923, 0.0317383, -0.5726318, 0.9520874, 0.3048780, 0.3048780, 0.0000000, -1555.6250000, -1037.5000000, 1128.3750000
2021-10-23 20:11:44.832762 , -21.1723115, -4.1867115, -82.7780080, 0.0325928, -0.5745850, 0.9529419, -0.2134146, 0.0304878, -0.0304878, -545.3750000, -424.2500000, -146.5000000
2021-10-23 20:11:45.127956 , -23.7554471, -4.6954324, -76.0227077, 0.0344238, -0.5757446, 0.9523315, -0.1219512, -0.1219512, -0.0304878, -307.6250000, -299.8750000, -178.5000000
2021-10-23 20:11:45.424204 , -25.7022640, -4.7820529, -70.8117085, 0.0344849, -0.5767822, 0.9507446, 0.0609756, 0.0609756, 0.0304878, -249.3750000, -257.2500000, -160.5000000
2021-10-23 20:11:45.720313 , -27.0995657, -4.5155869, -66.4596706, 0.0352783, -0.5774536, 0.9495850, 0.0304878, 0.0609756, 0.0000000, -227.5000000, -235.8750000, -134.3750000
2021-10-23 20:11:46.016580 , -28.1371955, -4.1781876, -62.8673673, 0.0354614, -0.5781250, 0.9515991, 0.4268293, 0.7317073, 0.0000000, -262.1250000, -263.5000000, -155.0000000
2021-10-23 20:11:46.313099 , -28.5707205, -3.4259543, -57.5558774, 0.0332642, -0.5776978, 0.9530029, 1.1585366, 0.9451220, 0.0914634, -576.6250000, -419.3750000, -145.2500000
2021-10-23 20:11:46.609574 , -25.7793981, -0.7832378, -51.2510866, 0.0343628, -0.5736084, 0.9533691, 0.5182927, 0.5182927, 0.0000000, -1399.6250000, -733.0000000, 650.1250000
2021-10-23 20:11:46.906300 , -22.5115489, 0.7158440, -42.8020140, 0.0314941, -0.5722656, 0.9526367, 0.2743902, 0.4268293, -0.0609756, -9009.6250000, -729.0000000, 4602.5000000
2021-10-23 20:11:47.202414 , -18.5685979, -10.3807716, -46.3233224, 0.0317383, -0.5728760, 0.9536133, 0.0304878, 0.2134146, -0.0609756, 2044.6250000, -598.3750000, 2483.3750000
2021-10-23 20:11:47.498878 , -15.4454283, -18.3865121, -49.7067318, 0.0334473, -0.5716553, 0.9520264, -0.3963415, -0.2439024, 0.0609756, 25082.8750000, -4199.3750000, 25059.1250000
2021-10-23 20:11:47.794485 , -22.0579833, -14.4791463, -47.7691428, 0.0369873, -0.5783691, 0.9514771, -0.9146341, -0.4268293, -0.0304878, -631.1250000, 664.0000000, -1495.3750000
2021-10-23 20:11:48.090344 , -31.2672564, -8.3224406, -39.9605328, 0.0501099, -0.5696411, 0.9553833, -0.1829268, 1.4939024, 0.1829268, -831.6250000, 32717.6250000, -1164.0000000
2021-10-23 20:11:48.386686 , -32.5033880, 0.6892244, -50.1768831, 0.0496826, -0.5687866, 0.9559937, 0.3353659, 0.8841463, 0.0609756, 16872.6250000, -3130.1250000, -16904.5000000
2021-10-23 20:11:48.682968 , -25.6479341, 1.7168738, -44.0761569, 0.0456543, -0.5696411, 0.9539795, -0.2743902, -0.1829268, -0.0304878, -17062.2500000, -3842.7500000, 16836.7500000
2021-10-23 20:11:48.979428 , -26.6417576, 0.9359563, -44.5327046, 0.0468140, -0.5684204, 0.9544067, 0.1219512, 0.0304878, -0.0609756, -776.7500000, -546.2500000, -773.6250000
2021-10-23 20:11:49.275832 , -26.6792280, 1.3421508, -47.0208770, 0.0479126, -0.5704346, 0.9546509, 0.0000000, 0.0304878, 0.0000000, -219.2500000, -227.0000000, -407.7500000
2021-10-23 20:11:49.572211 , -26.3200055, 2.8656648, -50.8467069, 0.0496826, -0.5719604, 0.9542847, -0.3048780, 0.0609756, -0.0304878, -83.2500000, -173.0000000, -338.3750000
2021-10-23 20:11:49.868881 , -28.2060736, -1.3630026, -57.7838843, 0.0498657, -0.5725708, 0.9543457, 0.4878049, 0.6097561, 0.0914634, -101.7500000, -16419.8750000, -567.1250000
2021-10-23 20:11:50.165206 , -28.5607399, -2.3306703, -57.6976857, 0.0691528, -0.5573730, 0.9207153, 5.7012195, -10.2134146, -2.9268293, -366.5000000, -144.2500000, -919.2500000
2021-10-23 20:11:50.462053 , -29.2312501, -2.6461605, -60.6967916, 0.0362549, -0.5706787, 0.9537964, 1.1280488, 0.9756098, -0.0304878, -612.0000000, -1851.0000000, -600.5000000
2021-10-23 20:11:50.758199 , -29.2217041, -8.4727927, -65.6488626, 0.0343018, -0.5645752, 0.9545288, 1.3414634, 1.0975610, -0.0609756, 718.7500000, -1723.0000000, 709.0000000
2021-10-23 20:11:51.054542 , -25.4507713, -12.7842239, -67.9029815, 0.0321655, -0.5621338, 0.9559937, 0.9146341, 0.7317073, -0.0304878, 1114.3750000, -971.7500000, 1736.8750000
2021-10-23 20:11:51.350645 , -22.5305474, -15.2124873, -79.4005530, 0.0306396, -0.5618896, 0.9559937, 0.3353659, 0.4573171, 0.0000000, 16527.0000000, -271.3750000, 1602.1250000
2021-10-23 20:11:51.647373 , -19.8663213, -8.7662873, -70.5979588, 0.0330200, -0.5637207, 0.9566650, -0.9451220, -0.4268293, -0.0304878, -1127.8750000, -459.8750000, 805.8750000
2021-10-23 20:11:51.943952 , -22.7479760, -8.1326024, -63.7719509, 0.0391846, -0.5697021, 0.9546509, -0.0914634, -0.3048780, 0.0609756, -558.5000000, -389.8750000, -168.7500000
2021-10-23 20:11:52.239974 , -24.8206865, -7.3438971, -61.1398741, 0.0397339, -0.5714111, 0.9542236, -0.0304878, 0.1524390, 0.0304878, -291.2500000, -295.2500000, -209.8750000
2021-10-23 20:11:52.536451 , -26.4113300, -6.6178343, -58.9423086, 0.0409546, -0.5739136, 0.9531250, 0.6402439, 0.7317073, -0.0609756, -319.6250000, -307.0000000, -237.7500000
2021-10-23 20:11:52.832729 , -27.7074395, -6.0653638, -56.6539993, 0.0405884, -0.5742798, 0.9527588, 0.6707317, 0.5182927, 0.0000000, -476.5000000, -403.5000000, -340.7500000
2021-10-23 20:11:53.129060 , -28.7579549, -5.5624156, -53.3733385, 0.0383301, -0.5739136, 0.9531250, 0.1219512, 0.3963415, -0.0609756, -954.0000000, -675.5000000, -478.5000000
2021-10-23 20:11:53.425055 , -26.9168289, -3.0720542, -48.5339927, 0.0385742, -0.5715332, 0.9531250, 0.8841463, 0.5792683, 0.0914634, -2782.6250000, -1971.2500000, 1158.3750000
2021-10-23 20:11:53.721237 , -26.0236954, -2.0187906, -40.0097455, 0.0368042, -0.5685425, 0.9542847, 0.3963415, 0.6402439, -0.0609756, -24925.3750000, -3254.5000000, 5305.3750000
2021-10-23 20:11:54.028330 , -24.5974701, -12.0444163, -43.9414352, 0.0385132, -0.5668335, 0.9556274, 1.1585366, 0.7012195, 0.0304878, 1084.1250000, -962.0000000, 1224.3750000
2021-10-23 20:11:54.324097 , -18.9613054, -8.8030230, -38.2182142, 0.0335693, -0.5598755, 0.9574585, 0.4573171, 0.0914634, 0.0000000, -16424.0000000, -271.1250000, 24600.3750000
2021-10-23 20:11:54.658540 , -21.3423606, -7.1249365, -40.8905035, 0.0307007, -0.5608521, 0.9581299, 0.4268293, 0.4573171, 0.0914634, -169.7500000, -206.1250000, -64.1250000
2021-10-23 20:11:54.964895 , -23.1686759, -5.8211106, -42.6673232, 0.0335083, -0.5623779, 0.9580688, 0.3658537, -0.0609756, -0.0609756, -190.0000000, -203.6250000, -92.5000000
2021-10-23 20:11:55.299265 , -24.6477142, -4.8816769, -44.2324229, 0.0371094, -0.5615845, 0.9597168, 0.0304878, 0.0304878, -0.0304878, -186.2500000, -202.8750000, -94.7500000
