
Sense HAT Test Program ...

Raspberry UTC Start2021-10-23 20:18:29.672343
UTC Current Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
2021-10-23 20:19:04.858804 , 0.3821411, 0.6647949, 0.8023682, 2.1951220, 43.0792683, -58.0792683
2021-10-23 20:19:05.154874 , -0.6055908, 0.3569946, 0.5629272, -19.8170732, -79.7865854, -168.3841463
2021-10-23 20:19:05.451047 , -0.5836792, 0.0974121, 0.7418213, -13.7500000, -34.9390244, -69.2073171
2021-10-23 20:19:05.747454 , -0.6215210, 0.0792236, 0.7315674, 16.4329268, 63.5365854, -38.8414634
2021-10-23 20:19:06.043229 , -0.6753540, -0.2913818, 0.5077515, -13.7195122, -63.9634146, -50.3048780
2021-10-23 20:19:06.339230 , 0.2663574, -0.3602295, 0.9967041, 22.7134146, -147.8658537, 77.8353659
2021-10-23 20:19:06.635282 , 0.3040161, 0.0115356, 1.1320801, 87.7439024, 33.4756098, 60.7317073
2021-10-23 20:19:06.931384 , -0.1607056, 0.6649170, 0.7429810, 8.0182927, 76.5853659, -36.5243902
2021-10-23 20:19:07.227572 , -0.0261841, 0.0031738, 0.5005493, -37.8353659, -47.0731707, -67.4695122
2021-10-23 20:19:07.523710 , 0.2819214, -0.3652954, 1.3229980, 9.4512195, -81.5243902, 78.1402439
2021-10-23 20:19:07.819425 , 0.1737671, 0.3198853, 1.0402222, 25.9451220, 53.7195122, 12.1951220
2021-10-23 20:19:08.115989 , 0.2304688, 0.3759155, 0.7276001, 30.1829268, -24.6341463, 4.0548780
2021-10-23 20:19:08.411848 , 0.3089600, 0.0734863, 1.1369019, -55.0000000, 13.9329268, -61.0975610
2021-10-23 20:19:08.707826 , 0.1784058, -0.0602417, 1.0372925, 38.5365854, 8.7804878, 29.7865854
2021-10-23 20:19:09.004262 , 0.0418701, 0.0365601, 0.9429321, -6.6768293, 11.4329268, -17.1646341
2021-10-23 20:19:09.340595 , 0.0104370, -0.0317993, 1.0048218, -2.8353659, 3.0182927, -2.7134146
2021-10-23 20:19:09.645356 , -0.0619507, 0.0505981, 0.9601440, 35.9756098, 12.1341463, -35.1219512
2021-10-23 20:19:09.960544 , -0.2344971, -0.0562744, 1.1268311, 30.2743902, -17.9268293, 39.0853659
2021-10-23 20:19:10.267981 , 0.2177734, 0.2473145, 0.8409424, 70.1829268, 12.2256098, 74.8780488
2021-10-23 20:19:10.563166 , 0.0900269, 0.6179199, 0.4849243, 61.2195122, 39.9390244, -89.2073171
2021-10-23 20:19:10.868412 , -0.4622192, 0.2788086, 0.6044312, -83.5365854, -96.0670732, -82.2560976
2021-10-23 20:19:11.165605 , 0.0501099, -0.1204224, 1.0150146, -89.6341463, -15.8841463, 9.1158537
2021-10-23 20:19:11.461169 , -0.0933228, -0.4899902, 1.1221924, 13.5060976, 25.7012195, 39.5426829
2021-10-23 20:19:11.753016 , -0.0675659, 0.1623535, 0.9230347, 88.0182927, 36.4939024, 33.8414634
2021-10-23 20:19:12.047313 , -0.2853394, 0.4224243, 0.6260986, 60.1829268, 8.8109756, -41.6463415
2021-10-23 20:19:12.343103 , -0.3726807, 0.3270874, 0.6721802, -40.2439024, -61.5548780, -27.7743902
2021-10-23 20:19:12.638938 , -0.2866211, -0.1442261, 0.9540405, -145.7317073, 12.9268293, 7.8353659
2021-10-23 20:19:12.934671 , -0.0935669, -0.4750977, 1.1127319, 13.3231707, -6.5853659, 48.1707317
2021-10-23 20:19:13.230349 , -0.0753784, -0.0136719, 0.9588013, 73.1402439, 19.7865854, 91.4329268
2021-10-23 20:19:13.525825 , -0.0114746, 0.4927368, 0.6386108, 35.0000000, 10.2743902, 0.7317073
2021-10-23 20:19:13.821704 , -0.1661377, 0.2645264, 0.9148560, -26.2195122, -8.0487805, -79.1158537
